iter	Passed	Remaining
619	2162	1325
620	2165	1321
621	2169	1318
622	2172	1314
623	2175	1310
624	2178	1306
625	2181	1303
626	2184	1299
627	2187	1295
628	2190	1292
629	2193	1288
630	2196	1284
631	2200	1281
632	2204	1277
633	2207	1274
634	2209	1270
635	2213	1266
636	2216	1263
637	2220	1259
638	2223	1256
639	2227	1252
640	2230	1249
641	2233	1245
642	2236	1241
643	2239	1238
644	2242	1234
645	2245	1230
646	2249	1227
647	2252	1223
648	2255	1219
649	2258	1216
650	2261	1212
651	2264	1208
652	2267	1205
653	2270	1201
654	2273	1197
655	2276	1193
656	2280	1190
657	2284	1187
658	2287	1183
659	2290	1179
660	2293	1176
661	2296	1172
662	2299	1168
663	2302	1165
664	2305	1161
665	2308	1157
666	2312	1154
667	2316	1151
668	2319	1147
669	2322	1143
670	2325	1140
671	2329	1136
672	2332	1133
673	2335	1129
674	2338	1126
675	2341	1122
676	2345	1119
677	2348	1115
678	2352	1111
679	2354	1108
680	2358	1104
681	2362	1101
682	2365	1097
683	2368	1094
684	2371	1090
685	2375	1087
686	2378	1083
687	2381	1080
688	2385	1076
689	2388	1073
690	2392	1069
691	2395	1066
692	2398	1062
693	2401	1059
694	2405	1055
695	2409	1052
696	2412	1048
697	2415	1045
698	2418	1041
699	2422	1038
700	2425	1034
701	2428	1030
702	2431	1027
703	2434	1023
704	2438	1020
705	2441	1016
706	2444	1012
707	2447	1009
708	2450	1005
709	2454	1002
710	2457	998
711	2460	995
712	2463	991
713	2466	987
714	2469	984
715	2473	980
716	2476	977
717	2478	973
718	2481	969
719	2485	966
720	2488	962
721	2491	959
722	2494	955
723	2497	952
724	2501	948
725	2505	945
726	2509	942
727	2512	938
728	2515	934
729	2518	931
730	2521	927
731	2525	924
732	2528	920
733	2531	917
734	2534	913
735	2537	910
736	2540	906
737	2544	903
738	2547	899
739	2550	896
740	2553	892
741	2556	889
742	2560	885
743	2564	882
744	2568	879
745	2573	876
746	2576	872
747	2580	869
748	2585	866
749	2589	863
750	2593	859
751	2597	856
752	2601	853
753	2605	849
754	2608	846
755	2615	844
756	2622	841
757	2626	838
758	2633	836
759	2637	832
760	2640	829
761	2647	826
762	2653	824
763	2657	820
764	2664	818
765	2669	815
766	2673	812
767	2679	809
768	2683	806
769	2687	802
770	2691	799
771	2697	796
772	2700	793
773	2704	789
774	2710	786
775	2714	783
776	2717	780
777	2721	776
778	2726	773
779	2730	770
780	2734	766
781	2737	763
782	2742	760
783	2746	756
784	2749	752
785	2752	749
786	2756	745
787	2760	742
788	2763	739
789	2767	735
790	2773	732
791	2778	729
792	2782	726
793	2786	723
794	2790	719
795	2794	716
796	2798	712
797	2802	709
798	2807	706
799	2811	702
800	2815	699
801	2821	696
802	2825	693
803	2828	689
804	2832	686
805	2838	683
806	2844	680
807	2849	677
808	2854	674
809	2858	670
810	2862	667
811	2867	663
812	2871	660
813	2876	657
814	2883	654
815	2887	651
816	2891	647
817	2895	644
818	2900	641
819	2905	637
820	2908	634
821	2913	630
822	2919	627
823	2923	624
824	2926	620
825	2931	617
826	2935	614
827	2940	610
828	2943	607
829	2949	604
830	2952	600
831	2956	597
832	2961	593
833	2965	590
834	2970	587
835	2974	583
836	2980	580
837	2984	576
838	2988	573
839	2991	569
840	2996	566
841	3001	563
842	3004	559
843	3009	556
844	3013	552
845	3019	549
846	3028	547
847	3034	543
848	3041	540
849	3046	537
850	3050	534
851	3054	530
852	3059	527
853	3063	523
854	3067	520
855	3070	516
856	3076	513
857	3079	509
858	3083	506
859	3086	502
860	3092	499
861	3095	495
862	3099	491
863	3102	488
864	3108	485
865	3110	481
866	3115	477
867	3119	474
868	3121	470
869	3125	466
870	3128	463
871	3133	459
872	3137	456
873	3140	452
874	3144	449
875	3149	445
876	3152	442
877	3156	438
878	3162	435
879	3166	431
880	3169	428
881	3173	424
882	3178	421
883	3182	417
884	3186	414
885	3189	410
886	3194	406
887	3198	403
888	3201	399
889	3205	396
890	3209	392
891	3213	389
892	3217	385
893	3221	381
894	3225	378
895	3229	374
896	3233	371
897	3236	367
898	3240	364
899	3245	360
900	3249	357
901	3253	353
902	3257	349
903	3260	346
904	3264	342
905	3267	338
906	3270	335
907	3274	331
908	3278	328
909	3281	324
910	3284	320
911	3288	317
912	3292	313
913	3295	310
914	3299	306
915	3302	302
916	3306	299
917	3310	295
918	3313	292
919	3316	288
920	3320	284
921	3323	281
922	3326	277
923	3329	273
924	3332	270
925	3336	266
926	3339	263
927	3342	259
928	3345	255
929	3348	252
930	3352	248
931	3356	244
932	3359	241
933	3362	237
934	3365	233
935	3369	230
936	3372	226
937	3375	223
938	3378	219
939	3382	215
940	3385	212
941	3388	208
942	3391	205
943	3394	201
944	3398	197
945	3401	194
946	3404	190
947	3407	186
948	3411	183
949	3415	179
950	3418	176
951	3421	172
952	3424	168
953	3427	165
954	3431	161
955	3434	158
956	3437	154
957	3440	150
958	3443	147
959	3447	143
960	3451	140
961	3455	136
962	3458	132
963	3462	129
964	3465	125
965	3468	122
966	3471	118
967	3474	114
968	3478	111
969	3481	107
970	3484	104
971	3487	100
972	3490	96
973	3493	93
974	3497	89
975	3499	86
976	3503	82
977	3505	78
978	3509	75
979	3512	71
980	3515	68
981	3518	64
982	3521	60
983	3526	57
984	3529	53
985	3533	50
986	3536	46
987	3540	43
988	3545	39
989	3550	35
990	3557	32
991	3567	28
992	3574	25
993	3581	21
994	3586	18
995	3593	14
996	3599	10
997	3605	7
998	3610	3
999	3615	0
